,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Bench,Agility,Sprint,drafted or no,drafted_top10,Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
41,Stephen Curry,2009,7.0,187.96,191.135,191.77,246.38,90.17,336.55,74.93,321.31,82.100152,5.7,10.0,11.07,3.28,1,1,-1.0989001725334886,-1.1145090403640672,-1.7762994546299047,-1.2826313946761463,0.1147890209021026,-1.4334261953279293,-0.025837928738967956,-1.4250307293496463,-1.3732345159014736,-0.6101702697222956,-0.03597943025220917,-0.47825553022105405,-0.14214605678035735
42,Jordan Hill,2009,8.0,206.375,208.915,217.17000000000002,274.32,88.9,363.22,78.74,353.06,105.233344,6.0,11.0,12.23,3.3,1,1,1.1084699087627035,1.0257977874828503,0.7622532268264736,0.9655808850351315,-0.03583515119533677,1.2025338661008493,0.5014598011836354,1.4618849723498826,0.6969221108830139,-0.48879357505264304,0.23757006151826202,1.7442031624615137,0.02544689956044843
43,Demar DeRozan,2009,9.0,196.85,199.39000000000001,205.74,260.35,97.79,358.14,73.66,334.01,95.707912,4.9,5.0,11.88,3.31,1,1,-0.033273236735328005,-0.12079515600656693,-0.380095479828897,-0.15852525482050506,1.0185340534867422,0.7004462353525068,-0.20160383871317106,-0.2702644486698358,-0.15549532367530491,-0.9338414555080359,-1.4037268891045651,1.0736337293245328,0.10924337773085319
44,Dionte Christmas,2009,,193.675,196.85,205.74,260.35,85.09,345.44,68.58,328.93,95.707912,7.1,3.0,10.83,3.21,0,1,-0.4138542852346696,-0.42655327427041473,-0.380095479828897,-0.15852525482050506,-0.4877076674876566,-0.5547728415183383,-0.9046674786099776,-0.732170960941759,-0.15549532367530491,-0.04374569459725018,-1.9508258726455074,-0.9380745700864133,-0.7287214039731758
45,Jeff Adrien,2009,,196.215,199.39000000000001,218.44,273.05,80.01,353.06,69.85,342.9,107.047712,7.9,16.0,11.34,3.32,0,1,-0.10938944643519564,-0.12079515600656693,0.8891808608992907,0.8633894177755295,-1.0902043558774157,0.19835860460416993,-0.7289015686357765,0.5380719478060311,0.8592873365131699,0.27992549118849047,1.605317520370618,0.03904088962747382,0.19303985590125422
46,Jerel McNeal,2009,,186.69,190.5,201.29500000000002,252.73,92.71000000000001,345.44,80.01,332.74,86.18248,5.4,10.0,10.61,3.25,0,1,-1.2511325919332272,-1.1909485699300273,-0.8243421990837624,-0.771674058378129,0.416037365096983,-0.5547728415183383,0.6772257111578386,-0.3857410767378153,-1.0079127582336225,-0.7315469643919481,-0.03597943025220917,-1.35957535662966,-0.3935354912915642
47,Joe Ingles,2009,,202.565,203.835,208.915,266.7,78.74,345.44,66.04,332.74,94.80072799999999,10.1,3.0,10.66,3.3,0,1,0.6517726505634909,0.41428155095516156,-0.0627763946468515,0.35243208147750993,-1.2408285279748568,-0.5547728415183383,-1.2561992985583799,-0.3857410767378153,-0.2366779364903829,1.170021252099276,-1.9508258726455074,-1.2637797233243755,0.02544689956044843
48,Josh Heytvelt,2009,,208.28,210.82,216.535,274.32,86.36,360.68,72.39,346.71,111.583632,10.8,15.0,11.67,3.38,0,1,1.3368185378623099,1.2551163761807345,0.6987894097900622,0.9655808850351315,-0.3370834953902172,0.9514900507266781,-0.3773697486873722,0.8845018320099747,1.2652004005885586,1.4532335396617995,1.3317680286001468,0.6712920694423423,0.6958187249236716
49,Tyler Smith,2009,,196.215,198.12,207.645,265.43,85.09,350.52,73.66,339.09000000000003,96.161504,7.0,10.0,10.69,3.24,0,1,-0.10938944643519564,-0.27367421513849083,-0.18970402871966857,0.25024061421790783,-0.4877076674876566,-0.05268521077000135,-0.20160383871317106,0.19164206360209254,-0.11490401726776593,-0.08420459282046758,-0.03597943025220917,-1.206302343341207,-0.4773319694619652
50,John Wall,2010,1.0,189.865,193.04,206.375,257.81,99.06,356.87,76.2,334.01,88.904032,5.6,10.0,10.84,3.14,1,1,-0.8705515434338822,-0.885190451666183,-0.31663166279248844,-0.3629081893397138,1.1691582255841817,0.574924327665424,0.14992798123523318,-0.2702644486698358,-0.7643649197883886,-0.6506291679455134,-0.03597943025220917,-0.918915443425357,-1.315296751165994
