Height (No Shoes)_zscore,Height (With Shoes)_zscore,Wingspan_zscore,Standing reach_zscore,Vertical (Max)_zscore,Vertical (Max Reach)_zscore,Vertical (No Step)_zscore,Vertical (No Step Reach)_zscore,Weight_zscore,Body Fat_zscore,Bench_zscore,Agility_zscore,Sprint_zscore
-0.794435334,-0.732311393,-0.887806016,-0.465099657,-0.186459323,-0.680294749,0.677225711,-0.039311193,-0.683182307,-0.933841456,-0.856627906,-0.554892037,0.612022247
0.956237489,0.796479199,1.460355214,1.476538221,-1.3914527,0.700446235,-1.959262938,0.42259532,2.198800448,2.667000486,0.784669045,1.916635302,0.779615203
0.956237489,1.025797787,1.396891397,1.374346754,0.114789021,1.830143405,0.677225711,2.039268113,1.224609094,-0.286499084,1.058218537,0.805405956,-0.393535491
-0.337738076,-0.350113745,0.571861776,-0.260716722,0.265413193,-0.052685211,0.501459801,0.076165436,0.453374272,0.118089898,1.331768029,-0.861438063,0.109243378
1.184586118,1.407995435,1.904601933,1.578729689,-0.035835151,0.072836697,-0.025837929,0.076165436,3.578904866,5.499123362,-0.03597943,-0.123811687,-0.142146057
1.489050957,1.407995435,2.158457202,1.987495558,-1.090204356,1.579099589,-0.904667479,1.692838228,0.493965579,-0.691088066,0.511119553,0.977838096,2.036562376
-1.098900173,-1.11450904,-0.633950748,-0.771674058,1.018534053,-0.052685211,0.677225711,-0.385741077,-0.804956226,-0.650629168,2.152416504,-0.13339125,-0.89631436
-0.566086705,-0.579432333,-0.38009548,-0.465099657,1.47040657,0.700446235,0.501459801,-0.154787821,-0.480225775,-1.419348234,-0.03597943,0.115677396,-1.231500273
-0.109389446,-0.120795156,-0.316631663,0.250240614,-0.337083495,0.072836697,-0.201603839,0.191642064,-0.439634469,-0.407875779,-0.03597943,0.690451196,-0.393535491
-0.413854285,-0.579432333,-0.887806016,-0.669482591,-1.3914527,-1.935513826,-2.135028848,-2.117890498,-0.926730145,-0.407875779,-0.583078414,-0.095072997,1.617579985
0.195075392,0.108523433,0.635325593,0.556815016,0.566661537,1.202533866,0.852991621,1.230931716,-0.358451856,-1.05521815,1.60531752,0.21147303,-1.315296751
-0.337738076,-0.350113745,0.000687422,-0.056333788,-0.63833184,-0.554772842,-0.904667479,-0.616694333,0.493965579,0.846350066,-0.03597943,0.134836523,0.695818725
0.80400507,0.949358258,1.269963763,1.272155287,-0.788956012,0.951490051,-0.025837929,1.461884972,-0.19608663,0.927267863,-1.950825873,0.556337309,0.612022247
0.423424021,0.414281551,0.444934142,0.863389418,-0.939580184,0.323880512,-2.135028848,-0.385741077,-0.277269243,0.279925491,-1.130177397,0.709610323,1.198597594
1.793515796,1.790193083,1.714210482,1.987495558,-0.035835151,0.072836697,-0.025837929,0.076165436,1.184017788,-0.124663491,-0.03597943,-0.123811687,-0.142146057
0.88012128,0.796479199,1.523819031,1.272155287,-1.993949388,-0.052685211,-2.135028848,0.076165436,3.538313559,3.192966163,1.058218537,4.062457488,3.377306026
1.489050957,1.484434965,0.762253227,1.374346754,-1.993949388,0.072836697,-1.607731119,0.538071948,0.615739498,0.320384389,-1.677276381,0.019881763,0.612022247
1.184586118,1.178676847,1.841138116,1.987495558,-2.295197733,0.574924328,-2.135028848,0.884501832,3.132400495,3.71893184,-0.03597943,0.15399565,2.120358854
1.793515796,1.790193083,1.650746665,1.987495558,-2.747070249,0.198358605,-2.486560668,0.653548576,0.899878643,-0.893382557,-0.03597943,3.602638449,3.20971307
-0.946667753,-0.961629981,-1.141661284,-0.771674058,-1.090204356,-1.809991918,-2.310794758,-2.348843754,-0.277269243,0.158548797,-0.03597943,-0.210027757,1.701376463
0.80400507,0.796479199,0.444934142,0.812293684,-1.3914527,-0.115446165,-1.607731119,-0.097049507,2.645304818,2.262411504,3.246614471,2.797955129,2.623137723
0.271191602,0.261402492,0.381470325,0.863389418,0.717285709,1.704621497,-0.025837929,0.076165436,-0.074312711,0.441761084,-1.130177397,0.632973816,-0.561128448
0.956237489,0.872918728,1.523819031,0.659006483,-0.487707667,0.44940242,0.501459801,1.115455088,0.899878643,0.320384389,-0.03597943,-0.324982517,-0.058349579
1.260702328,1.255116376,0.952644678,1.067772352,-1.843325216,-0.178207118,-1.607731119,0.191642064,1.305791707,1.615069133,1.331768029,1.495134516,0.44442929
0.499540231,0.490721081,1.206499946,1.067772352,-0.487707667,0.951490051,-0.904667479,0.653548576,0.047461208,0.401302186,0.784669045,-0.056754744,0.0254469
0.347307812,0.337842021,-0.697414565,-0.056333788,-0.186459323,-0.178207118,0.325693891,0.191642064,-0.155495324,-0.124663491,-0.03597943,0.786246829,-0.644924926
1.412934748,1.484434965,0.635325593,1.272155287,-2.596446077,-0.554772842,-1.431965209,0.538071948,2.158209142,-0.488793575,1.60531752,1.437657136,0.276836334
0.80400507,0.720039669,0.825717044,0.863389418,-1.3914527,-0.052685211,-1.783497028,-0.154787821,0.696922111,-0.084204593,-2.224375364,0.632973816,-0.561128448
-0.261621866,-0.273674215,-1.839763272,-0.873865526,-0.035835151,0.072836697,-0.025837929,0.076165436,-1.413825822,-0.731546964,-0.03597943,-0.123811687,-0.142146057
-0.489970495,-0.426553274,-0.824342199,-0.260716722,-0.035835151,0.072836697,-0.025837929,0.076165436,-1.21086929,-1.378889336,0.237570062,-0.123811687,-0.142146057
-0.489970495,-0.579432333,-0.951269833,-0.311812456,-0.939580184,-1.119621426,-2.310794758,-1.829198928,-0.317860549,-0.246040186,-0.583078414,0.21147303,-1.063907317
-2.240643318,-2.184662454,-2.030154723,-1.895780198,-0.63833184,-2.81416718,-0.728901569,-2.57979701,0.088052515,0.805891168,-0.03597943,1.897476176,-0.477331969
-0.261621866,-0.197234686,-0.38009548,-0.567291124,-0.939580184,-1.433426195,-0.553135659,-0.963124217,-0.19608663,1.776904725,-0.583078414,0.518019056,0.528225769
-1.479481221,-1.343827629,-1.522444186,-1.384822862,-0.63833184,-2.186557641,-0.553135659,-1.886937242,-0.76436492,0.199007695,1.058218537,-1.723598763,-0.728721404
0.042842973,0.108523433,-0.38009548,0.04585768,-1.090204356,-0.805816657,-1.080433389,-0.616694333,-0.358451856,0.320384389,-1.403726889,-0.631528544,-0.477331969
-0.185505656,-0.273674215,-0.126240212,0.04585768,0.265413193,0.323880512,-0.201603839,-0.039311193,-0.886138839,-0.852923659,-1.403726889,-0.689005923,-1.063907317
0.651772651,0.720039669,0.064151239,0.659006483,-1.090204356,-0.052685211,-0.904667479,0.191642064,1.062243869,1.21048015,0.237570062,-0.123811687,0.863411681
0.423424021,0.56716061,-0.126240212,0.454623549,-0.63833184,0.072836697,-0.201603839,0.42259532,0.615739498,0.320384389,0.237570062,-0.123811687,-1.231500273
0.118959183,0.032083903,1.143036129,0.556815016,-0.939580184,-0.052685211,-1.431965209,-0.270264449,0.493965579,-0.731546964,-1.950825873,0.249791283,-1.231500273
1.412934748,1.484434965,1.523819031,1.88530409,-3.048318593,-0.178207118,-2.135028848,0.769025204,1.83347869,-0.448334677,-0.583078414,1.341861503,-0.225942535
-0.413854285,-0.426553274,-0.253167846,-0.771674058,2.072903258,0.825968143,2.434884811,0.769025204,0.291009047,-0.286499084,2.152416504,-0.42077815,-0.980110838
0.651772651,0.64360014,0.635325593,0.04585768,0.717285709,0.700446235,0.325693891,0.307118692,0.615739498,0.077631,1.331768029,0.019881763,-1.734279142
0.271191602,0.261402492,0.127615056,0.04585768,0.717285709,0.700446235,0.677225711,0.538071948,0.331600353,0.482219982,0.511119553,-0.689005923,-1.063907317
0.499540231,0.56716061,0.762253227,0.965580885,-0.186459323,1.077011958,-0.201603839,0.99997846,1.346383013,1.45323354,2.425965996,-0.554892037,-0.561128448
-1.251132592,-1.038069511,-1.268588918,-0.873865526,-0.337083495,-1.307904288,-0.377369749,-1.194077473,-1.089095371,-0.650629168,-0.309528922,-0.516573784,-1.063907317
0.118959183,0.184962962,0.381470325,0.965580885,-0.035835151,1.202533866,0.325693891,1.346408344,0.412782966,-0.36741688,1.60531752,0.058200016,-0.309739013
-0.413854285,-0.502992804,0.635325593,-0.465099657,1.018534053,0.323880512,1.556055261,0.538071948,-0.804956226,-0.812464761,-1.403726889,-1.11050671,-1.734279142
0.347307812,0.490721081,-0.253167846,0.148049147,-0.939580184,-0.554772842,-1.607731119,-0.847647589,0.534556885,1.048644557,-0.856627906,0.288109536,0.0254469
1.032353699,0.949358258,0.889180861,0.863389418,0.867909881,1.830143405,1.380289351,1.923791485,0.209826434,0.118089898,1.331768029,-0.210027757,-1.315296751
-1.63171364,-1.573146218,-2.09361854,-1.589205796,1.018534053,-1.056860472,-0.025837929,-1.771460614,-1.657373661,-1.014759252,0.237570062,-2.394168196,-0.644924926
-1.098900173,-1.11450904,-1.268588918,-0.873865526,-0.035835151,-1.056860472,-0.728901569,-1.425030729,-1.170277984,1.008185659,-1.403726889,-1.091347583,-0.225942535
1.260702328,1.331555906,0.762253227,1.272155287,-0.788956012,0.951490051,-1.256199299,0.653548576,1.792887384,-0.529252473,1.058218537,-0.037595617,-0.309739013
0.118959183,0.261402492,-0.760878382,-0.362908189,1.169158226,0.574924328,0.852991621,0.191642064,0.291009047,-0.731546964,1.058218537,1.150270236,-1.231500273
0.72788886,0.56716061,0.318006508,0.556815016,-0.63833184,0.198358605,-0.377369749,0.42259532,0.534556885,-1.29797154,2.425965996,1.150270236,0.0254469
0.575656441,0.490721081,-0.100854685,0.556815016,-1.542076872,-0.554772842,-2.310794758,-0.847647589,0.534556885,1.129562354,-0.03597943,-0.19086863,-0.728721404
-1.403365011,-1.343827629,-0.760878382,-1.384822862,1.169158226,-0.680294749,0.852991621,-0.963124217,-0.236677936,-0.043745695,1.878867012,-0.171709504,-0.980110838
0.347307812,0.414281551,-0.38009548,0.352432081,0.566661537,0.951490051,0.149927981,0.538071948,-1.129686677,-0.772005863,-0.03597943,0.690451196,-1.901872098
0.651772651,0.64360014,0.444934142,0.659006483,-1.3914527,-0.303729026,-1.607731119,-0.270264449,1.305791707,1.979199217,-0.03597943,2.721318622,1.282394072
0.88012128,0.872918728,0.635325593,0.863389418,-1.3914527,-0.052685211,-0.728901569,0.538071948,0.981061256,3.354801756,1.331768029,0.767087703,0.947208159
0.956237489,0.872918728,-0.253167846,0.250240614,-1.090204356,-0.554772842,-1.431965209,-0.616694333,0.25041774,-0.084204593,-1.677276381,-0.516573784,-0.058349579
1.032353699,1.102237317,1.650746665,1.476538221,-0.487707667,1.453577681,-0.553135659,1.346408344,1.914661303,2.505164893,-0.03597943,-0.114232124,-0.058349579
0.575656441,0.56716061,0.69878941,1.067772352,-0.035835151,1.328055774,0.149927981,1.346408344,0.493965579,-0.407875779,-0.309528922,-0.76564243,-0.309739013
1.336818538,1.407995435,0.381470325,0.454623549,0.416037365,0.951490051,-0.025837929,0.538071948,0.331600353,-0.731546964,1.878867012,-0.957233697,0.528225769
-0.718319124,-0.502992804,-0.760878382,-0.260716722,-0.939580184,-1.056860472,-1.783497028,-1.425030729,-1.007912758,-0.772005863,0.511119553,-0.612369417,-0.812517882
-0.489970495,-0.426553274,-0.189704029,-0.362908189,0.114789021,-0.303729026,0.149927981,-0.270264449,-0.683182307,-0.529252473,1.878867012,-0.229186884,-1.734279142
-1.251132592,-1.11450904,-0.760878382,-1.384822862,-0.337083495,-1.935513826,-0.025837929,-1.540507357,0.047461208,-1.176594845,1.60531752,0.690451196,-0.980110838
-1.327248802,-1.267388099,-1.585908004,-1.384822862,0.566661537,-1.18238238,1.028757531,-0.847647589,-0.683182307,1.089103456,-1.677276381,-1.896030903,-1.650482664
-0.794435334,-0.808750922,0.000687422,-0.056333788,1.621030742,1.328055774,1.204523441,0.769025204,-0.399043162,0.360843288,-0.03597943,-0.612369417,-1.399093229
1.336818538,1.255116376,1.33342758,1.272155287,0.265413193,1.830143405,0.677225711,1.923791485,0.088052515,-0.448334677,0.511119553,1.073633729,0.44442929
-1.175016382,-1.19094857,-1.332052735,-1.07824846,2.072903258,0.44940242,-0.025837929,-1.194077473,-0.804956226,0.279925491,-1.403726889,-0.36330077,-0.812517882
-0.109389446,-0.120795156,-1.141661284,-0.873865526,-0.035835151,-1.056860472,-0.553135659,-1.309554101,-0.723773613,0.522678881,-2.224375364,-0.727324177,0.612022247
-0.185505656,-0.197234686,0.127615056,0.04585768,-1.240828528,-0.931338565,-0.904667479,-0.501217705,-0.520817081,-0.893382557,-1.130177397,-0.123811687,0.276836334
-0.946667753,-0.885190452,-0.253167846,-0.771674058,-0.186459323,-1.056860472,0.852991621,-0.270264449,-0.967321452,0.158548797,-0.03597943,-0.382459897,0.109243378
-2.697340576,-2.643299632,-2.220546174,-2.406737535,1.47040657,-1.684470011,0.677225711,-2.233367126,-1.170277984,-0.205581287,0.784669045,-1.589484877,-1.315296751
-1.251132592,-1.11450904,-0.951269833,-0.976056993,0.717285709,-0.554772842,-0.201603839,-1.194077473,-1.535599742,-1.217053743,-0.03597943,-1.11050671,-1.901872098
-1.86006227,-1.802464806,-1.776299455,-2.406737535,1.319782398,-1.809991918,0.852991621,-2.117890498,-1.251460597,-0.529252473,-0.856627906,-0.861438063,-1.147703795
-0.261621866,-0.120795156,-0.633950748,-0.465099657,-0.63833184,-1.056860472,-0.377369749,-0.732170961,0.047461208,-0.286499084,1.331768029,-0.976392823,-0.393535491
-1.175016382,-1.11450904,-1.078197467,-0.771674058,-0.63833184,-1.433426195,-0.904667479,-1.425030729,-0.439634469,-0.448334677,-0.03597943,0.44138255,-0.89631436
0.72788886,0.720039669,1.016108495,0.659006483,0.265413193,1.077011958,-0.025837929,0.769025204,1.549339545,0.077631,1.878867012,2.127385696,0.528225769
0.271191602,0.337842021,0.69878941,0.659006483,-1.3914527,-0.303729026,-1.256199299,-0.039311193,1.102835175,1.048644557,-0.03597943,2.127385696,1.36619055
0.118959183,0.108523433,-0.062776395,0.659006483,-0.487707667,0.44940242,-0.904667479,0.191642064,-0.317860549,-0.691088066,-0.03597943,0.805405956,-2.320854489
